Entidad,Año,Clave_Ent,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
DURANGO,2017,10,15.0,18.0,18.0,21.0,19.0,17.0,13.0,25.0,14.0,15.0,19.0,22.0
DURANGO,2018,10,12.0,18.0,16.0,7.0,18.0,22.0,17.0,14.0,11.0,14.0,13.0,18.0
DURANGO,2019,10,5.0,15.0,11.0,12.0,19.0,8.0,21.0,14.0,9.0,12.0,9.0,15.0
DURANGO,2020,10,3.0,14.0,12.0,16.0,13.0,7.0,19.0,19.0,12.0,12.0,6.0,10.0
DURANGO,2021,10,10.0,11.0,17.0,11.0,14.0,10.0,7.0,6.0,15.0,11.0,9.0,7.0
DURANGO,2022,10,9.0,8.0,7.0,11.0,11.0,11.0,11.0,11.0,9.0,12.0,8.0,7.0
DURANGO,2023,10,9.0,8.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUANAJUATO,2015,11,62.0,64.0,59.0,68.0,66.0,82.0,60.0,91.0,88.0,86.0,68.0,69.0
GUANAJUATO,2016,11,60.0,58.0,72.0,68.0,87.0,91.0,90.0,89.0,88.0,85.0,81.0,78.0
GUANAJUATO,2017,11,88.0,89.0,81.0,88.0,90.0,88.0,87.0,86.0,81.0,117.0,97.0,92.0
GUANAJUATO,2018,11,172.0,156.0,224.0,216.0,237.0,198.0,224.0,244.0,263.0,228.0,205.0,242.0
GUANAJUATO,2019,11,225.0,254.0,248.0,236.0,218.0,202.0,185.0,222.0,218.0,247.0,265.0,255.0
GUANAJUATO,2020,11,308.0,257.0,282.0,276.0,282.0,286.0,289.0,270.0,307.0,287.0,277.0,238.0
GUANAJUATO,2021,11,254.0,217.0,272.0,277.0,250.0,199.0,242.0,217.0,221.0,239.0,216.0,219.0
GUANAJUATO,2022,11,194.0,181.0,243.0,187.0,231.0,223.0,238.0,197.0,238.0,244.0,230.0,228.0
GUANAJUATO,2023,11,214.0,229.0,232.0,219.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
