Entidad,Año,Clave_Ent,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Poblacion,Enero_percapita,Febrero_percapita,Marzo_percapita,Abril_percapita,Mayo_percapita,Junio_percapita,Julio_percapita,Agosto_percapita,Septiembre_percapita,Octubre_percapita,Noviembre_percapita,Diciembre_percapita
CAMPECHE,2018,4,4.0,7.0,2.0,3.0,4.0,10.0,6.0,9.0,5.0,5.0,7.0,7.0,967319.0,4.135140527581905e-06,7.236495923268332e-06,2.0675702637909523e-06,3.101355395686428e-06,4.135140527581905e-06,1.033785131895476e-05,6.202710791372856e-06,9.304066187059285e-06,5.16892565947738e-06,5.16892565947738e-06,7.236495923268332e-06,7.236495923268332e-06
CAMPECHE,2019,4,3.0,5.0,2.0,4.0,9.0,5.0,7.0,12.0,6.0,11.0,3.0,6.0,984046.0,3.048637970176191e-06,5.081063283626985e-06,2.032425313450794e-06,4.064850626901588e-06,9.145913910528572e-06,5.081063283626985e-06,7.1134885970777786e-06,1.2194551880704764e-05,6.097275940352382e-06,1.1178339223979366e-05,3.048637970176191e-06,6.097275940352382e-06
CAMPECHE,2020,4,4.0,9.0,8.0,3.0,6.0,5.0,7.0,9.0,7.0,9.0,2.0,8.0,1000617.0,3.997533521817039e-06,8.994450424088338e-06,7.995067043634078e-06,2.9981501413627794e-06,5.996300282725559e-06,4.996916902271299e-06,6.995683663179818e-06,8.994450424088338e-06,6.995683663179818e-06,8.994450424088338e-06,1.9987667609085194e-06,7.995067043634078e-06
CAMPECHE,2021,4,5.0,11.0,6.0,3.0,12.0,5.0,7.0,15.0,9.0,4.0,1.0,7.0,1017011.0,4.916367669572895e-06,1.081600887306037e-05,5.899641203487475e-06,2.9498206017437375e-06,1.179928240697495e-05,4.916367669572895e-06,6.882914737402054e-06,1.4749103008718687e-05,8.849461805231211e-06,3.933094135658317e-06,9.832735339145792e-07,6.882914737402054e-06
CAMPECHE,2022,4,5.0,4.0,3.0,2.0,11.0,9.0,9.0,1.0,7.0,8.0,15.0,13.0,1033223.0,4.839226381913682e-06,3.871381105530945e-06,2.9035358291482092e-06,1.9356905527654725e-06,1.06462980402101e-05,8.710607487444627e-06,8.710607487444627e-06,9.678452763827363e-07,6.774916934679154e-06,7.74276221106189e-06,1.4517679145741045e-05,1.2581988592975572e-05
CAMPECHE,2023,4,10.0,4.0,9.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049244.0,9.530671607366827e-06,3.812268642946731e-06,8.577604446630144e-06,7.624537285893462e-06,9.530671607366827e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHIAPAS,2015,7,37.0,40.0,32.0,48.0,40.0,38.0,34.0,57.0,53.0,45.0,40.0,38.0,5307819.0,6.97084810164024e-06,7.536052001773233e-06,6.028841601418586e-06,9.04326240212788e-06,7.536052001773233e-06,7.159249401684571e-06,6.405644201507248e-06,1.0738874102526857e-05,9.985268902349533e-06,8.478058501994887e-06,7.536052001773233e-06,7.159249401684571e-06
CHIAPAS,2016,7,36.0,34.0,40.0,35.0,34.0,40.0,39.0,40.0,38.0,50.0,44.0,38.0,5393944.0,6.67415160409526e-06,6.303365403867745e-06,7.415724004550288e-06,6.488758503981502e-06,6.303365403867745e-06,7.415724004550288e-06,7.230330904436531e-06,7.415724004550288e-06,7.044937804322774e-06,9.26965500568786e-06,8.157296405005317e-06,7.044937804322774e-06
CHIAPAS,2017,7,46.0,46.0,42.0,43.0,38.0,45.0,34.0,41.0,39.0,34.0,31.0,36.0,5479352.0,8.395153295499175e-06,8.395153295499175e-06,7.665139965455769e-06,7.847643297966621e-06,6.935126635412363e-06,8.212649962988325e-06,6.205113305368956e-06,7.482636632944918e-06,7.1176299679232145e-06,6.205113305368956e-06,5.657603307836401e-06,6.5701199703906594e-06
CHIAPAS,2018,7,41.0,46.0,51.0,50.0,52.0,43.0,57.0,45.0,53.0,44.0,41.0,39.0,5563869.0,7.368972921540748e-06,8.267628155874986e-06,9.166283390209223e-06,8.986552343342376e-06,9.34601443707607e-06,7.728435015274443e-06,1.0244669671410309e-05,8.087897109008139e-06,9.525745483942919e-06,7.90816606214129e-06,7.368972921540748e-06,7.009510827807053e-06
CHIAPAS,2019,7,49.0,47.0,35.0,42.0,38.0,45.0,46.0,36.0,55.0,31.0,52.0,49.0,5647532.0,8.676356326976102e-06,8.322219334038302e-06,6.197397376411501e-06,7.436876851693802e-06,6.728602865818202e-06,7.968082341100502e-06,8.145150837569402e-06,6.374465872880401e-06,9.738767305789503e-06,5.489123390535902e-06,9.207561816382802e-06,8.676356326976102e-06
CHIAPAS,2020,7,38.0,35.0,27.0,33.0,32.0,40.0,42.0,48.0,29.0,36.0,33.0,26.0,5730367.0,6.631337923033551e-06,6.107811244899324e-06,4.7117401032080495e-06,5.758793459476505e-06,5.584284566765095e-06,6.9803557084563695e-06,7.329373493879188e-06,8.376426850147643e-06,5.060757888630868e-06,6.2823201376107324e-06,5.758793459476505e-06,4.53723121049664e-06
CHIAPAS,2021,7,41.0,26.0,52.0,39.0,38.0,47.0,38.0,25.0,32.0,39.0,22.0,30.0,5812375.0,7.0539151379599565e-06,4.473214477730704e-06,8.946428955461407e-06,6.7098217165960555e-06,6.5377750059141054e-06,8.086195402051658e-06,6.5377750059141054e-06,4.301167767048754e-06,5.505494741822405e-06,6.7098217165960555e-06,3.7850276350029034e-06,5.161401320458505e-06
CHIAPAS,2022,7,28.0,37.0,38.0,37.0,30.0,28.0,35.0,29.0,23.0,22.0,35.0,35.0,5893520.0,4.750980738166664e-06,6.278081689720235e-06,6.4477595732261876e-06,6.278081689720235e-06,5.090336505178569e-06,4.750980738166664e-06,5.938725922708331e-06,4.920658621672617e-06,3.902591320636903e-06,3.7329134371309507e-06,5.938725922708331e-06,5.938725922708331e-06
CHIAPAS,2023,7,41.0,23.0,37.0,43.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5973838.0,6.863259432210917e-06,3.850121144898807e-06,6.193673146141559e-06,7.198052575245596e-06,6.026276574624219e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHIHUAHUA,2015,8,94.0,87.0,83.0,63.0,87.0,99.0,84.0,97.0,59.0,70.0,60.0,62.0,3616481.0,2.599211775203575e-05,2.4056534515182022e-05,2.2950486951265608e-05,1.7420249131683534e-05,2.4056534515182022e-05,2.7374677206931268e-05,2.322699884224471e-05,2.682165342497306e-05,1.631420156776712e-05,1.9355832368537262e-05,1.6590713458746223e-05,1.714373724070443e-05
CHIHUAHUA,2016,8,77.0,64.0,75.0,90.0,110.0,96.0,104.0,117.0,126.0,158.0,106.0,109.0,3649416.0,2.1099266293565875e-05,1.7537052503743064e-05,2.0551233402823904e-05,2.4661480083388686e-05,3.0141808990808393e-05,2.6305578755614596e-05,2.849771031858248e-05,3.205992410840529e-05,3.452607211674416e-05,4.329459836861569e-05,2.904574320932445e-05,2.9867792545437407e-05
CHIHUAHUA,2017,8,121.0,145.0,118.0,100.0,139.0,170.0,107.0,119.0,133.0,135.0,129.0,150.0,3689398.0,3.279667848250582e-05,3.930180479308548e-05,3.198353769368336e-05,2.710469296074861e-05,3.7675523215440565e-05,4.6077978033272635e-05,2.9002021468001013e-05,3.2254584623290845e-05,3.604924163779565e-05,3.659133549701062e-05,3.4965053919365705e-05,4.0657039441122915e-05
CHIHUAHUA,2018,8,124.0,110.0,112.0,116.0,194.0,208.0,213.0,220.0,135.0,104.0,139.0,132.0,3727984.0,3.326194533023747e-05,2.9506564405855818e-05,3.0043047395053197e-05,3.111601337344796e-05,5.203884995214572e-05,5.579423087652737e-05,5.713543834952081e-05,5.9013128811711635e-05,3.621260177082305e-05,2.7897115438263685e-05,3.728556774921781e-05,3.540787728702698e-05
CHIHUAHUA,2019,8,162.0,151.0,172.0,176.0,209.0,205.0,206.0,186.0,181.0,188.0,197.0,146.0,3765325.0,4.302417454004634e-05,4.0102779972512334e-05,4.567998778325908e-05,4.674231308054418e-05,5.550649678314621e-05,5.444417148586111e-05,5.470975281018239e-05,4.939812632375691e-05,4.807021970215055e-05,4.992928897239946e-05,5.231952089129093e-05,3.877487335090596e-05
CHIHUAHUA,2020,8,162.0,173.0,224.0,221.0,194.0,227.0,213.0,244.0,162.0,186.0,141.0,149.0,3801487.0,4.2614903062933e-05,4.550850759189759e-05,5.892431040800613e-05,5.813514553647033e-05,5.1032661692648165e-05,5.971347527954193e-05,5.603070587904154e-05,6.418540955157811e-05,4.2614903062933e-05,4.8928222035219376e-05,3.709074896218243e-05,3.919518861961122e-05
CHIHUAHUA,2021,8,160.0,152.0,176.0,171.0,212.0,181.0,198.0,195.0,142.0,149.0,152.0,171.0,3836506.0,4.170461352073996e-05,3.961938284470297e-05,4.587507487281396e-05,4.457180570029084e-05,5.525861291498045e-05,4.717834404533709e-05,5.1609459231915706e-05,5.0827497728401835e-05,3.701284449965672e-05,3.883742134118909e-05,3.961938284470297e-05,4.457180570029084e-05
