Año,Entidad,Clave_Ent,Poblacion
2019,VERACRUZ DE IGNACIO DE LA LLAVE,30,8488447.0
2020,VERACRUZ DE IGNACIO DE LA LLAVE,30,8539862.0
2021,VERACRUZ DE IGNACIO DE LA LLAVE,30,8588469.0
2022,VERACRUZ DE IGNACIO DE LA LLAVE,30,8634299.0
2023,VERACRUZ DE IGNACIO DE LA LLAVE,30,8677408.0
2015,YUCATAN,31,2128802.0
2016,YUCATAN,31,2155883.0
2017,YUCATAN,31,2182255.0
2018,YUCATAN,31,2208236.0
2019,YUCATAN,31,2233866.0
2020,YUCATAN,31,2259098.0
2021,YUCATAN,31,2283943.0
2022,YUCATAN,31,2308370.0
2023,YUCATAN,31,2332395.0
2015,ZACATECAS,32,1601701.0
2016,ZACATECAS,32,1616675.0
2017,ZACATECAS,32,1629789.0
2018,ZACATECAS,32,1642388.0
2019,ZACATECAS,32,1654593.0
2020,ZACATECAS,32,1666426.0
2021,ZACATECAS,32,1677911.0
2022,ZACATECAS,32,1689080.0
2023,ZACATECAS,32,1699893.0
